payer_account_id,InFlow_Total_sum,InFlow_Avg_sum,OutFlow_Total_sum,OutFlow_Avg_sum,Value Chain_Total_sum,Value Chain_Avg_sum,InFlow_Total_count,InFlow_Avg_count,OutFlow_Total_count,OutFlow_Avg_count,Value Chain_Total_count,Value Chain_Avg_count
471,54320.0,10864.0,55320.0,11064.0,454930.0,75821.66666666667,65,13.0,66,13.2,2392,398.6666666666667
34,6.2469919E7,1.0411653166666666E7,6.5480803E7,1.0913467166666666E7,4258781.0,709796.8333333334,3477,579.5,3709,618.1666666666666,2379,396.5
26,1437011.0,287402.2,2997891.0,599578.2,878291.0,146381.83333333334,469,93.8,571,114.2,1733,288.8333333333333
1056,6255.0,3127.5,9255.0,3085.0,7332.0,1222.0,2,1.0,3,1.0,63,10.5
222,420.0,210.0,3070.0,767.5,13970.0,2328.3333333333335,2,1.0,4,1.0,79,13.166666666666666
1176,,,,,20.0,20.0,,,,,2,2.0
531,,,,,3.8623871E7,6437311.833333333,,,,,195965,32660.833333333332
538,,,,,20.0,20.0,,,,,2,2.0
56,590322.0,98387.0,4009942.0,668323.6666666666,1822126.0,303687.6666666667,405,67.5,554,92.33333333333333,4481,746.8333333333334
